iso3c,iso3c_name,countryx,titleofinterest,date,femaleminister,new_appointment,new_appointment2,fem_lag,corruptpercep,corr_change,corruption_lag,corruption_flip,corruptionwb,wbcorr_change,prx,clx,status,a,pry,cly,statusnumeric,polity2,polity2_lag,presidential,accountability,v2x_regime_amb,womenrep,womenrep_lag,n_core,n_female_core,pwc,pwc_lag,execme,allhouse,allhouseimp,gov1me,gov2me,unified,finance_gender,loggdp_lag,gdppercapita_lag
2,AFG,Afghanistan,Finance,18,0,0,0,0,25,,,,-1.443608999,0.107167006,5,5,PF,,,,1,,,1,0,3,27.29999924,3.700000048,32,3,9.375,5.714285851,independent,,1,,,,0,22.82516479,5.823379517
2,AFG,Afghanistan,Finance,19,0,0,0,0,25,,25,75,-1.432890058,0.148229003,5,5,PF,6,16,19,1,,,1,0,3,27.29999924,27.29999924,25,0,0,9.375,independent,,1,,,,0,22.88540077,5.843593121
2,AFG,Afghanistan,Finance,20,0,0,0,0,18,,25,75,-1.587331057,0.153517068,5,5,PF,6,17,18,1,,,1,0,3,27.70000076,27.29999924,29,1,3.448275805,0,independent,,1,,,,0,22.96470833,5.88953495
2,AFG,Afghanistan,Finance,21,0,0,0,0,15,,18,82,-1.638286948,0.323965073,5,6,NF,6,17,17,2,,,1,0,3,27.70000076,27.70000076,29,1,3.448275805,3.448275805,independent,,1,,,,0,23.05555344,5.952959061
2,AFG,Afghanistan,Finance,22,0,0,0,0,13,,15,85,-1.534796,0.287244916,6,6,NF,6,16,16,2,,,1,0,3,27.29999924,27.70000076,29,1,3.448275805,3.448275805,independent,,1,,,,0,23.13955498,6.013149738
2,AFG,Afghanistan,Finance,23,0,0,0,0,14,,13,87,-1.635722995,0.189514995,6,6,NF,4,11,16,2,,,1,0,3,27.70000076,27.29999924,29,3,10.34482765,3.448275805,independent,,1,,,,0,23.25572586,6.105994225
2,AFG,Afghanistan,Finance,24,0,0,0,0,15.19999981,11,14,86,-1.579179049,0.192113996,6,6,NF,3,10,15,2,,,1,0,3,27.70000076,27.70000076,30,3,10,10.34482765,independent,,1,,,,0,23.41974831,6.244298935
2,AFG,Afghanistan,Finance,25,0,0,0,0,8,9.800003052,15.19999981,84.80000305,-1.41988802,0.146288991,6,6,NF,3,10,13,2,,,1,0,3,27.70000076,27.70000076,30,3,10,10,independent,,1,,,,0,23.48897743,6.284078598
2,AFG,Afghanistan,Finance,26,0,0,0,0,8,10,8,92,-1.436761022,-0.167443037,6,6,NF,3,11,16,2,,,1,0,3,27.70000076,27.70000076,29,3,10.34482765,10,independent,,1,,,,0,23.55111694,6.313464165
2,AFG,Afghanistan,Finance,27,0,0,0,0,12,7,8,92,-1.354784012,-0.201525926,6,6,NF,3,11,15,2,-1,,1,0,3,27.70000076,27.70000076,30,3,10,10.34482765,independent,,1,,,,0,23.63837433,6.366212368
